Recording Name,Accent Type,Word Index,Start Time (s),End Time (s),Top 1 Word,Top 1 Confidence (%),Top 2 Word,Top 2 Confidence (%),Top 3 Word,Top 3 Confidence (%)
russian1,russian,23,10.66,11.14,SLAPES,39.66,SLAPS,30.15,SLIPES,7.92
russian1,russian,24,11.18,11.56,OF,59.70,OR,39.53,O,0.32
russian1,russian,25,11.64,12.00,BLUE,96.07,BLUEW,1.83,BLE,0.69
russian1,russian,26,12.04,12.36,CHEES,44.72,CHEESE,22.53,CHEETS,8.84
russian1,russian,27,12.42,12.74,AND,99.96,ND,0.03,UND,0.01
russian1,russian,28,12.84,13.06,MAY,98.97,MEY,0.77,MAD,0.05
russian1,russian,29,13.10,13.22,BE,99.82,ME,0.10,BEE,0.03
russian1,russian,30,13.30,13.38,A,98.24,E,0.10,AN,0.08
russian1,russian,31,13.44,13.74,SNAKE,84.63,SNACKE,6.73,SNAK,4.03
russian1,russian,32,13.78,13.94,FOR,99.46,FROR,0.14,OR,0.09
russian1,russian,33,14.00,14.20,HER,60.81,HOR,12.76,HEUR,11.30
russian1,russian,34,14.28,14.70,BROTHER,98.45,BRATHER,0.62,BRODHER,0.27
russian1,russian,35,14.76,15.14,BOB,42.79,BORB,41.52,BUB,4.31
russian1,russian,36,15.20,16.34,WE,92.95,YE,2.96,WOE,0.99
russian1,russian,37,16.40,16.68,ALSO,87.12,ELSO,10.35,LSO,0.89
russian1,russian,38,16.72,16.92,NEED,79.94,NEET,13.65,NEAD,1.85
russian1,russian,39,16.98,17.16,A,98.71,AN,0.19,E,0.17
russian1,russian,40,17.20,17.56,SMALL,98.78,SMOLL,0.55,SMAL,0.17
russian1,russian,41,17.60,18.14,PLATIC,45.21,PLASTIC,28.23,PLATIG,6.66
russian1,russian,42,18.18,19.06,SNAKE,96.60,SNAKES,1.67,SNAKED,0.53
russian1,russian,43,19.10,19.42,AND,99.37,AN,0.50,ND,0.05
russian1,russian,44,19.54,19.76,BEIG,18.31,BIG,15.37,BEEG,13.21
russian1,russian,45,19.80,20.10,TOY,60.14,DOY,16.40,TOI,8.55
russian1,russian,46,20.16,20.40,FOR,97.88,OR,0.62,FO,0.45
russian1,russian,47,20.46,21.12,FROG,93.13,FROK,3.32,FROCG,0.98
russian1,russian,48,21.16,21.40,FOR,99.07,OR,0.26,FUR,0.23
russian1,russian,49,21.50,21.68,THE,99.31,TE,0.17,HE,0.15
russian1,russian,50,21.74,22.02,KEDS,40.19,KEEDS,20.02,KIDS,9.73
russian1,russian,51,22.06,23.46,SHE,99.82,SHI,0.04,SE,0.03
russian1,russian,52,23.52,23.80,CAN'T,36.97,CANT,26.88,CAN',20.51
russian1,russian,53,23.86,24.28,SCOOP,95.54,SCOOPE,1.98,SCOUP,0.72
russian1,russian,54,24.36,24.62,THESE,45.61,THISE,28.18,THES,15.91
russian1,russian,55,24.68,25.04,THINGS,67.78,THINKS,14.36,THING,4.41
russian1,russian,56,25.08,25.66,INTO,97.90,INGTO,1.08,EINTO,0.32
russian1,russian,57,25.72,26.02,THREE,99.08,THRE,0.37,SHREE,0.11
russian1,russian,58,26.10,26.50,RED,98.28,READ,0.76,RAD,0.51
russian1,russian,59,26.54,26.86,BAGS,41.82,BEGS,33.15,BACGS,8.91
russian1,russian,60,26.92,27.44,AND,99.79,AN,0.12,ND,0.03
russian1,russian,61,27.52,27.64,WE,86.29,YE,10.63,WEU,1.09
russian1,russian,62,27.70,27.88,WILL,67.92,ILL,25.86,W'LL,1.86
russian1,russian,63,27.96,28.14,GO,99.13,GA,0.41,GOL,0.15
russian1,russian,64,28.30,28.52,MEET,87.09,MEAT,4.06,MET,3.57
russian1,russian,65,28.58,28.90,HERE,89.57,HER,4.27,YERE,2.38
russian1,russian,66,28.98,29.54,WHEN,77.77,WHENE,12.34,WEN,4.46
russian1,russian,67,29.60,29.84,THEY,69.86,THAY,10.16,DHEY,9.35
russian1,russian,68,29.92,30.22,AT,98.86,A,0.41,T,0.32
russian1,russian,69,30.30,30.42,THE,98.61,THA,0.68,THET,0.22
russian1,russian,70,30.48,30.78,TRAIN,92.51,TRAINE,2.88,TRAIND,2.30
russian1,russian,71,30.84,31.44,STATION,99.02,STATIONS,0.89,STATION',0.02
russian2,russian,1,0.00,1.10,PLEASE,71.39,POLEASE,12.32,PLEACE,8.93
russian2,russian,2,1.14,1.44,GOS,37.87,GO,23.72,GOLS,15.45
russian2,russian,3,1.48,1.98,STELLER,52.62,TELLER,15.65,STELLHER,9.84
russian2,russian,4,2.04,2.76,ASK,92.99,ASKE,5.00,ASKD,1.73
russian2,russian,5,2.82,2.94,HER,97.25,YER,1.37,HOR,0.49
russian2,russian,6,3.00,3.06,TO,99.84,T,0.09,O,0.07
russian2,russian,7,3.12,3.38,BRING,99.84,BRIN,0.06,BRINGE,0.05
russian2,russian,8,3.50,3.68,THESE,93.79,THISE,3.52,THES,1.49
russian2,russian,9,3.74,4.20,THINGS,87.92,THINKS,8.40,THING,1.47
russian2,russian,10,4.26,4.48,WITH,99.14,WIH,0.37,WIT,0.23
russian2,russian,11,4.54,4.82,HER,99.39,HERE,0.26,HE,0.09
russian2,russian,12,4.88,5.44,FROM,99.78,FROR,0.14,FOM,0.03
russian2,russian,13,5.52,5.58,THE,99.40,THEA,0.20,TE,0.18
russian2,russian,14,5.66,6.08,STORE,96.02,STOR,1.69,STOORE,1.04
russian2,russian,15,6.16,7.04,SIX,98.77,SIXK,0.29,SIXE,0.26
russian2,russian,16,7.10,7.66,SPOONS,86.79,POONS,9.71,SPONS,1.85
russian2,russian,17,7.74,8.06,OR,81.01,O,11.99,OF,2.85
russian2,russian,18,8.14,8.46,FRESH,99.43,FRASH,0.17,FREH,0.09
russian2,russian,19,8.50,9.32,SNOWPEERS,63.52,SNOWPEARS,31.69,SNOPEERS,1.64
russian2,russian,20,9.38,10.30,FIVE,99.00,FIE,0.29,FIV,0.20
russian2,russian,21,10.36,10.74,TIX,24.28,THIX,21.19,SIX,12.35
russian2,russian,22,10.80,11.58,SLEBS,22.68,SLEPBS,21.79,SLEBPS,20.42
russian2,russian,23,11.64,12.90,OF,99.22,OFF,0.46,OR,0.11
russian2,russian,24,13.00,13.24,BLUE,73.97,BLU,15.28,BLE,3.64
russian2,russian,25,13.28,13.78,CHEESE,44.65,CHEES,34.97,CHEEZE,3.54
russian2,russian,26,13.86,14.28,AND,99.70,AN,0.20,ANT,0.07
russian2,russian,27,14.34,14.60,MAY,99.50,MEY,0.20,MAYE,0.09
russian2,russian,28,14.64,14.74,BE,99.80,ME,0.08,BEE,0.05
russian2,russian,29,14.80,14.86,A,98.59,AS,0.64,E,0.33
russian2,russian,30,14.92,15.38,SNAK,45.57,SNACK,24.60,SNAG,17.62
russian2,russian,31,15.44,15.68,FOR,98.90,FO,0.41,FOF,0.37
russian2,russian,32,15.76,15.96,HER,98.95,HERE,0.36,HIR,0.20
russian2,russian,33,16.06,16.48,BROTHER,65.64,BRATHER,19.86,BROTHE,4.60
russian2,russian,34,16.52,16.92,BORB,24.04,BOB,21.96,BARB,20.47
russian2,russian,35,16.96,17.74,WILL,40.71,WELL,30.37,WIL,13.82
russian2,russian,36,17.80,18.10,ALSO,99.81,ALLSO,0.12,ALS,0.03
russian2,russian,37,18.16,18.36,NEED,38.22,NEET,28.88,NEAD,16.12
russian2,russian,38,18.44,18.48,A,97.63,AS,1.37,AT,0.32
russian2,russian,39,18.56,18.88,SMALL,99.46,SMOLL,0.24,SMAL,0.09
russian2,russian,40,18.94,19.44,PLASTIC,86.06,PLASTICK,6.89,PLASTEC,2.39
russian2,russian,41,19.50,19.96,SNAKE,99.08,SNAKEE,0.37,SMAKE,0.31
russian2,russian,42,20.00,20.62,AND,99.85,AN,0.11,END,0.01
russian2,russian,43,20.72,20.72,A,98.36,E,1.62,I,0.02
russian2,russian,44,20.80,20.96,BIG,96.77,BEG,1.22,BEIG,0.95
russian2,russian,45,21.02,21.42,TOY,94.23,TOYE,1.12,TOYI,0.87
russian2,russian,46,21.46,21.96,FROG,37.96,FROCG,29.38,FROK,18.04
russian2,russian,47,22.02,22.26,FOR,99.28,FOM,0.22,FROR,0.16
russian2,russian,48,22.32,22.38,THE,99.68,THA,0.21,TE,0.06
russian2,russian,49,22.46,22.98,KEATS,22.06,KEADS,16.83,KEETS,14.49
russian2,russian,50,23.04,23.80,SHE,99.87,SHU,0.04,SOE,0.02
russian2,russian,51,23.86,24.02,CAN,98.19,CANT,0.74,CAN',0.64
russian2,russian,52,24.08,24.44,SCHOOL,93.01,SCOOL,5.64,SCHOO,0.66
russian2,russian,53,24.50,24.64,THE,44.21,THES,20.30,THI,10.53
russian2,russian,54,24.70,25.24,THINXS,18.49,PHINXS,13.13,THINGS,12.59
russian2,russian,55,25.30,25.76,INTO,96.59,INT,2.54,INTE,0.36
russian2,russian,56,25.82,26.14,THREE,99.79,TREE,0.08,THHREE,0.08
russian2,russian,57,26.20,26.46,RED,99.11,REDD,0.26,READ,0.24
russian2,russian,58,26.52,27.02,BAGS,98.67,BAKS,0.95,BAG,0.12
russian2,russian,59,27.08,27.76,AND,99.32,AN,0.55,ANT,0.04
russian2,russian,60,27.88,28.06,WE,92.19,WEE,3.61,WER,3.13
russian2,russian,61,28.10,28.38,WILL,82.07,WELL,13.26,WI'LL,3.69
russian2,russian,62,28.44,28.76,GO,98.46,GOL,0.66,GA,0.32
russian2,russian,63,28.84,29.14,MEAT,56.78,MEET,38.79,MEAD,1.86
russian2,russian,64,29.20,29.48,HERE,92.39,HER,6.82,HIRE,0.23
russian2,russian,65,29.56,30.32,WEDNESDAY,91.95,WENESDAY,3.23,WEDNSDAY,2.62
russian2,russian,66,30.40,30.92,AT,78.47,AN,9.97,ATD,9.95
russian2,russian,67,30.98,31.04,THE,99.12,THAE,0.40,THET,0.21
russian2,russian,68,31.10,31.46,TRAIN,98.89,TRAINE,0.44,TRAIND,0.36
russian2,russian,69,31.50,32.04,STATION,99.37,STATIONS,0.46,STATIONE,0.05
russian3,russian,1,0.00,0.74,PLEASE,99.69,PLEAS,0.09,PLASE,0.08
russian3,russian,2,0.80,1.06,CALL,87.36,CALLE,5.52,CALLD,4.57
russian3,russian,3,1.12,1.54,STELLA,68.84,STELLE,11.81,STELLAR,9.45
russian3,russian,4,1.60,2.36,ASK,99.25,ASKE,0.46,ASKD,0.19
russian3,russian,5,2.42,2.52,HER,85.39,HEW,9.09,HOR,4.64
russian3,russian,6,2.58,2.64,TO,99.96,T,0.02,TE,0.01
russian3,russian,7,2.72,2.98,BRING,99.52,BRIN,0.16,BRIG,0.09
russian3,russian,8,3.06,3.26,THESE,99.56,THOSE,0.13,THISE,0.11
russian3,russian,9,3.32,3.70,THINGS,99.20,THINS,0.27,THINES,0.15
russian3,russian,10,3.76,3.98,WITH,99.22,WIT,0.33,WIH,0.19
russian3,russian,11,4.04,4.26,HER,98.32,HAR,0.64,HERF,0.49
russian3,russian,12,4.32,4.52,FROM,99.85,FRON,0.05,FOM,0.03
russian3,russian,13,4.58,4.70,THE,85.85,THI,6.65,THES,4.56
russian3,russian,14,4.76,5.12,STORE,99.15,STARE,0.25,STOORE,0.21
russian3,russian,15,5.20,5.84,SIX,97.89,SIXK,1.62,SIXT,0.14
russian3,russian,16,5.88,6.20,SCOONS,57.82,SPOONS,31.26,SCONS,4.62
russian3,russian,17,6.28,6.34,OF,96.70,O,2.10,OR,0.68
russian3,russian,18,6.40,6.66,FRESH,99.83,FRES,0.09,FRASH,0.04
russian3,russian,19,6.72,7.02,SNOW,97.74,SNAW,1.14,SNOWL,0.33
russian3,russian,20,7.08,7.40,PEAS,75.21,PEASE,19.51,PEES,3.49
russian3,russian,21,7.48,7.84,FIVE,99.19,FIRE,0.42,FIE,0.22
russian3,russian,22,7.94,8.18,THICK,99.52,THIC,0.28,THIK,0.04
russian3,russian,23,8.24,8.64,SLABS,97.99,SLAPS,1.21,SLAVS,0.20
russian3,russian,24,8.70,8.84,OF,78.71,O,10.42,OR,5.17
russian3,russian,25,8.90,9.10,BLUE,99.80,BLOE,0.10,LUE,0.05
russian3,russian,26,9.16,9.54,CHEESE,96.37,CHEES,3.12,CHEEASE,0.17
russian3,russian,27,9.60,10.06,AND,99.00,AN,0.75,ATD,0.15
russian3,russian,28,10.12,10.30,MAY,99.11,MEY,0.37,MAB,0.17
russian3,russian,29,10.34,10.44,BE,99.93,BY,0.03,BI,0.02
russian3,russian,30,10.50,10.50,A,99.94,E,0.04,I,0.01
russian3,russian,31,10.60,10.90,SNAP,95.91,SNAPE,1.38,SNAK,0.90
russian3,russian,32,10.98,11.06,FOR,98.33,OR,0.90,FOF,0.30
russian3,russian,33,11.12,11.20,HER,97.15,ER,1.64,HR,0.49
russian3,russian,34,11.26,11.50,BROTHER,99.81,BROTHE,0.05,BROHER,0.03
russian3,russian,35,11.58,11.86,BARB,62.14,BAB,25.18,BARK,5.23
russian3,russian,36,11.92,12.56,WE,79.88,BE,5.57,WHE,3.80
russian3,russian,37,12.62,12.88,ALSO,97.77,ASO,1.09,OLSO,0.55
russian3,russian,38,12.98,13.14,NEED,95.98,KNEED,1.67,NEAD,1.44
russian3,russian,39,13.20,13.20,A,99.85,E,0.11,O,0.02
russian3,russian,40,13.28,13.50,SMALL,99.30,SMOLL,0.25,SMAL,0.16
russian3,russian,41,13.56,14.04,PLASTIC,44.62,BLASTIC,21.46,PLASTICK,11.63
russian3,russian,42,14.10,14.56,SNAKE,97.59,SNAKES,1.43,SNAKEE,0.75
russian3,russian,43,14.60,14.82,AND,98.69,AN,1.15,ND,0.06
russian3,russian,44,14.88,14.92,THE,98.67,THA,1.23,TAE,0.03
russian3,russian,45,15.00,15.16,BIG,99.93,BIK,0.05,BEG,0.02
russian3,russian,46,15.22,15.50,TOY,98.30,TOI,0.48,TOYE,0.43
russian3,russian,47,15.56,15.88,FROG,99.57,FROGS,0.23,FROGU,0.08
russian3,russian,48,15.96,16.06,FOR,99.75,FOM,0.12,FO,0.04
russian3,russian,49,16.12,16.20,THE,97.93,THI,1.83,THER,0.06
russian3,russian,50,16.24,16.52,KIDS,98.76,KEDS,0.31,KIDDS,0.26
russian3,russian,51,16.58,17.12,SHE,99.97,SHI,0.03,SH,0.00
russian3,russian,52,17.18,17.32,CAN,99.56,CIN,0.09,CON,0.08
russian3,russian,53,17.36,17.66,SCOPE,45.61,SCOP,32.60,SCOBE,7.87
russian3,russian,54,17.72,17.88,THESE,90.22,THISE,6.64,THES,2.34
russian3,russian,55,17.94,18.26,THINGS,99.44,TINGS,0.24,THINKS,0.07
russian3,russian,56,18.34,18.62,INTO,99.84,INT,0.07,NTO,0.04
russian3,russian,57,18.70,18.88,THREE,99.52,THEE,0.28,TREE,0.09
russian3,russian,58,18.94,19.10,RED,98.16,LED,0.53,RAD,0.31
russian3,russian,59,19.16,19.52,BAGS,99.73,BADS,0.08,BAKS,0.07
russian3,russian,60,19.58,19.82,AND,99.20,AN,0.72,ATD,0.03
russian3,russian,61,19.90,20.04,WE,79.60,WI,9.93,WEL,5.78
russian3,russian,62,20.10,20.24,WILL,85.60,WELL,8.23,W'LL,1.88
russian3,russian,63,20.30,20.50,GO,99.46,GA,0.27,GOL,0.16
russian3,russian,64,20.64,20.86,MEET,97.74,MEEAT,0.97,MEAET,0.62
russian3,russian,65,20.92,21.04,HER,99.65,HE,0.15,HAR,0.06
russian3,russian,66,21.10,21.62,WEDNESDAY,98.76,WEDDNESDAY,0.47,WEDNE'SDAY,0.31
russian3,russian,67,21.70,21.74,AT,97.99,AN,1.17,IT,0.27
russian3,russian,68,21.82,21.90,THE,98.03,THEI,0.57,HE,0.44
russian3,russian,69,21.96,22.22,TRAIN,80.63,DRAIN,15.70,TRAINE,1.45
russian3,russian,70,22.26,22.72,STATION,99.13,STATIONS,0.36,STATIO,0.13
russian4,russian,1,0.00,1.52,A,24.69,AR,24.35,AU,10.21
russian4,russian,2,1.58,2.48,PLEASECALL,17.43,PLEASECALLD,17.33,PLEASECAL,12.16
russian4,russian,3,2.54,3.38,STELLA,36.54,STELLAR,24.52,STELLE,18.48
russian4,russian,4,3.44,4.14,ASK,83.41,ASKD,6.85,ASKE,4.98
russian4,russian,5,4.18,5.54,HERTOBEDINA,20.24,HERTOBERINA,18.50,HEORTOBEDINA,8.77
russian4,russian,6,5.60,6.18,THESE,33.81,THEE,20.98,THES,19.68
russian4,russian,7,6.22,6.44,E,19.65,A,15.95,SE,14.73
russian4,russian,8,6.48,7.22,HINER,28.98,FINER,18.39,HINE,14.03
russian4,russian,9,7.28,7.90,WEVE,49.18,WEAVE,28.11,WEEVE,8.44
russian4,russian,10,7.98,8.50,HER,47.49,HERE,19.72,HEOR,9.26
russian4,russian,11,8.56,9.34,FROMWERE,16.69,FROMWHERE,16.59,FROMTERE,12.61
russian4,russian,12,9.38,10.50,STORE,69.35,STOR,8.31,STORTE,5.54
russian4,russian,13,10.54,11.58,SIX,28.33,SEIX,19.91,SEX,12.31
russian4,russian,14,11.62,12.54,SPOONSER,25.87,SPOONSTER,24.20,SPOONCER,13.92
russian4,russian,15,12.60,13.02,OF,42.30,AF,15.23,OFF,10.53
russian4,russian,16,13.08,13.26,THE,26.44,TE,17.90,HE,15.86
russian4,russian,17,13.30,13.88,FRESH,97.88,FRASH,0.82,FRECH,0.35
russian4,russian,18,13.94,15.18,SNOR,36.82,SNOW,29.20,SNO,11.41
russian4,russian,19,15.22,15.86,PEASE,16.05,PEESE,13.82,BEASE,11.40
russian4,russian,20,15.94,16.62,OF,74.01,O,13.23,AF,6.26
russian4,russian,21,16.68,17.20,FIVE,93.94,FIFE,1.94,FAVE,1.32
russian4,russian,22,17.28,18.66,A,29.69,AR,17.57,O,17.39
russian4,russian,23,18.72,19.12,FIVE,91.84,FAVE,3.49,FIV,1.99
russian4,russian,24,19.18,19.64,THIK,27.37,THICK,16.32,THEK,15.24
russian4,russian,25,19.70,21.44,A,32.58,AR,17.70,AU,14.68
russian4,russian,26,21.50,22.48,SLABER,50.03,SLAPER,14.68,SLABOR,6.68
russian4,russian,27,22.52,23.44,OFF,62.07,OF,23.92,ORF,6.78
russian4,russian,28,23.48,24.46,BULUY,15.64,BULUE,14.23,BULUI,13.93
russian4,russian,29,24.50,24.96,CHEESE,27.99,CHEES,26.53,CHESE,8.29
russian4,russian,30,25.02,25.68,AND,97.38,AN,0.91,END,0.81
russian4,russian,31,25.84,26.24,MEY,39.00,MAY,35.60,ME,11.03
russian4,russian,32,26.28,26.46,BE,99.06,BPE,0.46,PBE,0.17
russian4,russian,33,26.52,26.70,A,97.18,E,1.62,AS,0.39
russian4,russian,34,26.76,27.30,SNECK,54.75,SNACK,27.33,SNEK,6.00
russian4,russian,35,27.34,27.72,FOR,99.81,FOUR,0.08,FOM,0.03
russian4,russian,36,27.78,28.12,HER,97.24,HOR,0.78,HERE,0.48
russian4,russian,37,28.18,28.72,BROTHER,71.02,BROTER,8.29,BROTHAR,7.50
russian4,russian,38,28.76,29.14,BOB,75.09,BOBE,8.06,BUB,7.08
russian4,russian,39,29.18,30.26,WE,98.57,WHE,0.80,WEE,0.20
russian4,russian,40,30.32,30.98,ALSO,100.00,ALS,0.00,LSO,0.00
russian4,russian,41,31.04,31.34,NEED,70.54,NEET,21.96,MEED,2.21
russian4,russian,42,31.48,31.82,A,95.72,E,2.07,EA,0.84
russian4,russian,43,31.90,32.76,SMALLER,69.48,SMALLE,13.70,SMALLR,11.01
russian4,russian,44,32.82,34.24,BOLASTICK,23.37,POLASTICK,18.13,BOLASTIK,16.74
russian4,russian,45,34.28,35.06,A,73.87,AS,8.28,O,7.19
russian4,russian,46,35.10,35.74,SNACK,32.91,SNECK,28.68,SNAK,13.26
russian4,russian,47,35.80,37.26,AND,98.34,END,0.88,ANT,0.43
russian4,russian,48,37.36,37.62,A,97.94,E,0.90,AY,0.76
russian4,russian,49,37.68,38.04,BIG,47.00,BEIG,12.46,BEG,10.57
russian4,russian,50,38.08,38.94,TOYFOR,64.54,TOIFOR,10.93,DOYFOR,7.54
russian4,russian,51,39.00,40.60,TOYFROG,41.99,TOIFROG,17.85,TOYFOROG,7.69
russian4,russian,52,40.68,41.06,FOR,87.04,FOUR,9.19,FORE,1.43
russian4,russian,53,41.12,41.32,THE,75.47,FTHE,15.45,THEY,3.32
russian4,russian,54,41.38,41.74,KETS,38.02,KEDS,21.50,KEETS,11.86
russian4,russian,55,41.80,42.78,A,77.33,AS,13.30,I,4.56
russian4,russian,56,42.84,43.36,SHEE,30.64,SHE,27.24,SHEEK,11.53
russian4,russian,57,43.40,44.12,ENA,23.61,ANA,14.23,ENNA,11.03
russian4,russian,58,44.16,44.80,A,69.01,AS,10.79,O,7.79
russian4,russian,59,44.86,49.02,SCOP,16.84,SCOOP,14.27,SCO,13.30
russian4,russian,60,49.08,51.16,COOP,30.47,COP,21.37,COUP,12.36
russian4,russian,61,51.22,52.76,A,30.14,AR,27.66,AE,16.56
russian4,russian,62,52.82,53.24,THESE,37.68,THEASE,31.56,THES,10.61
russian4,russian,63,53.28,54.76,FINKINTOR,21.87,FINKINTO,16.08,FINXINTOR,13.36
russian4,russian,64,54.82,55.30,THREE,45.58,THRE,25.03,THREY,9.55
russian4,russian,65,55.34,55.80,RED,85.21,READ,4.09,REDE,3.29
russian4,russian,66,55.86,56.30,BEGS,84.26,BAGS,8.75,BECGS,1.53
russian4,russian,67,56.36,57.04,AND,97.56,ANT,0.89,END,0.75
russian4,russian,68,57.14,57.56,WE,97.69,WHE,1.13,WEE,0.86
russian4,russian,69,57.60,58.12,WE'LL,46.02,WI'LL,45.93,WE''LL,2.11
russian4,russian,70,58.18,58.66,GO,96.57,GOL,1.48,GOW,0.72
russian4,russian,71,58.74,59.54,ME,46.58,MEE,35.24,MET,4.70
russian4,russian,72,59.58,59.72,TO,45.61,T,42.29,TOO,2.53
russian4,russian,73,59.76,60.32,HER,40.35,HERE,15.31,HUR,13.43
russian4,russian,74,60.36,61.22,THE,29.39,TH,27.56,WHE,12.32
russian4,russian,75,61.26,61.44,INCE,67.89,NCE,12.56,INCSE,4.50
russian4,russian,76,61.48,62.04,DAY,38.91,DEY,25.09,TDAY,6.63
russian4,russian,77,62.08,62.84,ETTER,48.48,ETER,17.18,ATTER,11.58
russian4,russian,78,62.92,63.14,THE,44.23,THET,20.83,THA,20.47
russian4,russian,79,63.22,64.64,TRANESTATION,20.27,TRAYNESTATION,15.00,TRAINESTATION,14.76
russian5,russian,1,0.00,0.52,PLEASE,77.26,PLEACE,14.57,PLESE,2.89
russian5,russian,2,0.56,0.82,CALL,45.42,COLL,17.90,CALLS,10.56
russian5,russian,3,0.88,1.32,STELLA,38.15,STELLAR,15.54,TELLA,13.27
russian5,russian,4,1.38,2.26,ASK,99.14,ASKE,0.77,ASKD,0.03
russian5,russian,5,2.32,2.48,HER,85.49,HERE,4.00,HEW,2.55
russian5,russian,6,2.56,2.62,TO,99.95,T,0.03,O,0.03
russian5,russian,7,2.68,2.88,BRING,98.00,BRIN,0.84,PRING,0.39
russian5,russian,8,2.94,3.14,THESE,99.22,THISE,0.59,THEE,0.07
russian5,russian,9,3.20,3.58,THINGS,98.84,THINS,0.42,THENGS,0.18
russian5,russian,10,3.64,4.20,WITH,99.29,WIH,0.24,WIT,0.20
russian5,russian,11,4.24,4.40,HER,97.28,HERE,0.77,HE,0.68
russian5,russian,12,4.46,4.70,FROM,97.83,FOM,0.88,FHROM,0.35
russian5,russian,13,4.74,4.96,THEIR,61.72,THEIRE,13.05,THER,13.02
russian5,russian,14,5.04,5.42,STORE,96.61,STARE,2.61,STOR,0.36
russian5,russian,15,5.48,6.08,SIX,96.81,SIXK,1.39,SHIX,1.00
russian5,russian,16,6.14,6.46,SPOONS,58.21,POONS,16.16,SPONS,14.01
russian5,russian,17,6.50,6.62,AND,92.91,AN,5.35,OND,1.36
russian5,russian,18,6.66,6.96,FRAY,34.97,FRA,19.87,FREY,16.05
russian5,russian,19,7.04,7.16,OR,83.93,OF,11.76,O,3.86
russian5,russian,20,7.22,7.52,FRESH,99.26,FRASH,0.38,FRES,0.13
russian5,russian,21,7.56,7.88,SNOW,98.72,SNAW,0.84,SNOWL,0.14
russian5,russian,22,7.92,8.28,PEERS,64.11,PEARS,29.74,PIERS,2.87
russian5,russian,23,8.36,9.36,FIVE,99.84,FAVE,0.06,FHIVE,0.02
russian5,russian,24,9.42,10.18,THICK,97.08,THIK,1.16,THICKX,0.51
russian5,russian,25,10.22,10.84,SLAPES,54.34,SLAPS,32.15,SLEPES,6.19
russian5,russian,26,10.90,11.20,OR,93.05,O,5.31,OF,1.41
russian5,russian,27,11.24,11.46,BLUE,66.68,BLOUE,20.14,BLOE,6.68
russian5,russian,28,11.50,11.80,CHES,80.38,CHESE,7.63,CHIS,5.70
russian5,russian,29,11.86,12.06,OF,87.10,O,5.65,OR,5.29
russian5,russian,30,12.12,12.60,LUECHES,48.90,LOUECHES,14.86,BLUECHES,12.81
russian5,russian,31,12.66,13.16,AND,99.25,AN,0.73,AD,0.01
russian5,russian,32,13.22,13.54,MAYBE,99.36,MEYBE,0.27,MAYBBE,0.17
russian5,russian,33,13.64,13.82,A,99.81,E,0.05,AS,0.04
russian5,russian,34,13.88,14.22,SNAKE,98.68,SNAK,0.70,SNACKE,0.26
russian5,russian,35,14.26,14.40,FOR,99.63,FOF,0.11,FO,0.09
russian5,russian,36,14.46,14.60,HER,99.23,HE,0.23,HOR,0.14
russian5,russian,37,14.66,15.08,BROTHER,99.31,BROTHERS,0.22,BRUTHER,0.11
russian5,russian,38,15.14,15.66,BOB,83.69,BOBB,6.32,BUB,3.86
russian5,russian,39,15.70,16.32,WE,99.99,W,0.01,E,0.00
russian5,russian,40,16.38,16.58,ALSO,99.99,ALS,0.00,ASO,0.00
